             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ITSI02                   1       59.6165257712       631114241.507       4924.52216042       1204.17391045       4001.93575574       13.7406797881       38.4721865162       88.9250546314     -0.569585777544    -0.0191776905409  2020-01-01T01:29:32.323            228.4705            35.18554      -2.18708337851       102.102579207      -2.23226694308
              ITSI02                   1        59.003442083       631114241.541       4923.42199688       1204.40984397       4002.20702944       13.7462244425       38.4796710995       88.3010932253       14.6678790334      0.494306557207  2020-01-01T01:29:32.357             362.939            58.20825      -2.69053979716       102.010490388      -2.73376397377
              ITSI02                   1       58.3475182707       631114241.575       4922.25335558       1204.66046277       4002.49518811       13.7521166414       38.4876228361        87.638455686       17.9597172891      0.605737206471  2020-01-01T01:29:32.390            402.5052            46.79572      -2.80393192054       101.926974955       -2.8453775964
              ITSI02                   1       57.6840332457       631114241.608       4921.09129592       1204.90967011       4002.78172391       13.7579781367       38.4955311054       86.9797148206      -32.9868889996      -1.11331396504  2020-01-01T01:29:32.424            377.6697            51.87317      -2.73587952899       101.858577764      -2.77586756846
              ITSI02                   1       56.9877410042       631114241.641       4919.85853045       1205.17404053       4003.08569405       13.7641989818       38.5039219896       86.2810723652      -29.9690756608      -1.01202411465  2020-01-01T01:29:32.457            506.7133             51.6221      -3.05619580714         101.8020184      -3.09497775073
              ITSI02                   1       56.3900383076       631114241.675       4918.79429739       1205.40226865       4003.34810817       13.7695716115       38.5111669362       85.6780907282       3.22353789332      0.108893509547  2020-01-01T01:29:32.490            526.7846            62.70821      -3.09942930302       101.766460048      -3.13745264213
              ITSI02                   1       55.1277586165       631114241.741       4916.56099417       1205.88120754        4003.8987867       13.7808528841       38.5263741015       84.4131765157       48.7878018446       1.64864884712  2020-01-01T01:29:32.557            377.5858             61.3835      -2.74022587147       101.731868387      -2.77751097515
              ITSI02                   1       53.6667945641       631114241.808       4914.01950175       1206.42623856       4004.52545724       13.7937020857       38.5436857012       82.9744473125      -30.4745141559      -1.02953229817  2020-01-01T01:29:32.624            507.9403              49.001      -3.06512199036       101.758504823      -3.10297557584
              ITSI02                   1       52.4566025603       631114241.875       4911.88698246       1206.88356402        4005.0512849       13.8044927795       38.5582163809       81.7678439461       17.5268098724      0.591670031235  2020-01-01T01:29:32.691             775.802            69.60558       -3.5275427348       101.835029244      -3.56702869703
              ITSI02                   1       51.7841668331       631114241.909       4910.71575196       1207.13473808         4005.340082       13.8104228481       38.5661988541       81.1053846076      -8.14926457425     -0.274932718845  2020-01-01T01:29:32.724            628.6187             78.7145      -3.30063539307       101.898050482      -3.34146476879
 
              ITSI01                   1       57.8657225608       631114241.433       4927.27111561       1203.58438838        4001.2579299       13.7268351556       38.4534900909       90.4847769749      -18.5466755989     -0.580654799099  2020-01-01T01:29:32.249            233.5315            47.55381      -2.10317895522       109.804956675      -2.30628867983
              ITSI01                   1       56.5345509498       631114241.533       4923.84141111       1204.31989927       4002.10361204       13.7441103983       38.4768176206        88.538948036       20.9823479885      0.660149141882  2020-01-01T01:29:32.349            358.3465            55.49373       -2.5715084056       109.266218487      -2.76393797141
              ITSI01                   1       55.6404227233         631114241.6       4921.59051885       1204.80261018       4002.65862761       13.7554597245       38.4921335378       87.2626909536       17.9682054706      0.566822566764  2020-01-01T01:29:32.416            502.0038            64.48144      -2.93996214937       108.976150201      -3.12661945699
              ITSI01                   1       54.6725181557       631114241.667       4919.19194514       1205.31699184       4003.25005785          13.7675639       38.5084597531         85.90337702      -12.8061971776     -0.404923270265  2020-01-01T01:29:32.482            514.8962            42.07556      -2.97027064942       108.722976751      -3.15187732208
              ITSI01                   1       54.1970302657         631114241.7        4918.0510062       1205.56166978       4003.53138579       13.7733252442       38.5162276691       85.2570327005      -8.22364298431        -0.260265539  2020-01-01T01:29:32.516            470.5766            39.15836      -2.87396336955        108.62291759      -3.05357068794
              ITSI01                   1       53.2042603194       631114241.767       4915.70485015       1206.06481031        4004.1098911       13.7851800254       38.5322051017       83.9284286946      0.566167781442     0.0179454744568  2020-01-01T01:29:32.582            655.6693            68.66218      -3.23717188136       108.458623765      -3.41349232815
 
