             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ENGL01                   1       49.5441321241       631342990.848        4053.5378881      -81.4057525317       5027.85392843      -1.15049600728       51.3032239503         93.72559206        32.646103626      0.919801198085  2020-01-03T17:02:01.664            412.7059            47.59908      -2.70047196115       122.014454395       -3.1325283724
              ENGL01                   1       49.2962959645       631342990.915       4054.63694479      -80.0617103878        5025.6927291      -1.13119920108       51.2838400444       92.7094826747      -12.1728394357     -0.345349863166  2020-01-03T17:02:01.731             377.886            42.44022      -2.60554284557       121.173175772      -3.02257529689
              ENGL01                   1       49.0362144492       631342990.982       4055.76319322       -78.684415343        5023.4780596      -1.11143555693       51.2639668814       91.6693003492       4.67061138963       0.13339050253  2020-01-03T17:02:01.798            574.6492            54.77964      -3.06146747157       120.371232808      -3.46408101391
              ENGL01                   1       48.7277713802       631342991.049        4056.8882887      -77.3085302279       5021.26565725      -1.09170283729        51.244104284        90.631261335      -5.72629465592     -0.164550724426  2020-01-03T17:02:01.864            1099.591            65.83274       -3.7670252308       119.632113764      -4.15626411228
              ENGL01                   1       48.3928049988       631342991.115       4057.99507943      -75.9550300991       5019.08924962       -1.0723015833       51.2245553106       89.6111629881      -7.85798913269     -0.227070243861  2020-01-03T17:02:01.931            1667.444            59.59764      -4.22016567934       118.966608594      -4.59729108552
              ENGL01                   1        48.001411579       631342991.182       4059.14927443      -74.5435590377        5016.8196256      -1.05208037399        51.204158984       88.5484856261      -20.4725454703     -0.594728344561  2020-01-03T17:02:01.998            2700.061            65.27366      -4.74477039764       118.338782365      -5.11040587931
              ENGL01                   1       47.5976263877       631342991.249       4060.26466276      -73.1795448605       5014.62631154      -1.03254972216       51.1844386723       87.5226173119      -10.3025413559     -0.300665112422  2020-01-03T17:02:02.065            4361.561            61.88722      -5.26681032782       117.797266625      -5.62248639368
              ENGL01                   1       47.1452478373       631342991.316       4061.38447766      -71.8101173969       5012.42429299      -1.01295211038       51.1646304565       86.4937454834      -26.0748939812      -0.76406126427  2020-01-03T17:02:02.131            5068.104            62.64832      -5.43138886251        117.31897557      -5.77823017282
              ENGL01                   1       46.6679110412       631342991.383       4062.51195983       -70.431313602       5010.20719745     -0.993230991675       51.1446768617       85.4589105134      -13.9477481057     -0.410154163309  2020-01-03T17:02:02.198            7530.181            66.57192      -5.86298714033       116.904399957      -6.20214142586
              ENGL01                   1       46.4070678257       631342991.416       4063.07646613      -69.7409759116       5009.09714494      -0.98336107076       51.1346828465       84.9411985109      -27.6811961389     -0.815276393999  2020-01-03T17:02:02.232            9961.061            70.49728      -6.16768462697       116.722311617      -6.50345402656
              ENGL01                   1       46.1413714632        631342991.45       4063.63933376      -69.0526421713       5007.99031475     -0.973522472962       51.1247154017       84.4252603834      -35.4782043751       -1.0463915767  2020-01-03T17:02:02.265               13311            72.84258      -6.48342599006       116.557788584      -6.81613248557
              ENGL01                   1       45.8832829946       631342991.483       4064.18312192      -68.3876408009       5006.92100265     -0.964019906663       51.1150835082       83.9270680461      -29.0093360938     -0.856648174112  2020-01-03T17:02:02.298            15406.29            74.84878      -6.64310886126       116.415066989      -6.97315482326
              ENGL01                   1       45.3349111302       631342991.549       4065.27984935      -67.0464471303       5004.76438361     -0.944862433989       51.0956507157       82.9230684689      -27.5717271637     -0.815871157151  2020-01-03T17:02:02.365            11483.85            74.67354      -6.32617777592       116.175964625      -6.65175921177
              ENGL01                   1       44.7570503282       631342991.616       4066.39562016      -65.6819652059       5002.57031742     -0.925382702111       51.0758710106        81.902691014      -3.94869149664     -0.117022503631  2020-01-03T17:02:02.432            7737.139            72.33868      -5.89968815603       115.999923332      -6.22197666696
              ENGL01                   1       44.1239897786       631342991.683       4067.52318794      -64.3030567162       5000.35305353     -0.905707652465       51.0558724631       80.8726071217      -25.2800501587     -0.749896544036  2020-01-03T17:02:02.499            5473.439            65.94908      -5.52646977472       115.891203336      -5.84672213627
              ENGL01                   1       43.4580640181        631342991.75       4068.66866471      -62.9022472221       4998.10057315     -0.885731054764        51.035546289       79.8272767688      -35.4630688642      -1.05231570248  2020-01-03T17:02:02.565            6208.344            66.36792      -5.66607607862       115.852168598       -5.9855969167
              ENGL01                   1       42.7872404226       631342991.817       4069.79369125      -61.5264464252       4995.88830639     -0.866121836233       51.0155732014       78.8017023589      -25.2990278391     -0.750506400371  2020-01-03T17:02:02.632            5347.589            66.65541      -5.50698049669       115.883959534      -5.82709712568
              ENGL01                   1       42.0992234939       631342991.884       4070.90638285      -60.1657300882        4993.7002952     -0.846738077012       50.9958095568        77.788439011      -18.6888460618     -0.553935754466  2020-01-03T17:02:02.699            4574.481             68.3672      -5.34058549083       115.983704815      -5.66257037637
              ENGL01                   1       41.3831974921        631342991.95       4072.01465945      -58.8104128742       4991.52096572     -0.827441567558       50.9761149014       76.7802509915      -35.7160947984      -1.05710261985  2020-01-03T17:02:02.766            3863.638            63.55707      -5.16063272646       116.150403052      -5.48573633236
              ENGL01                   1       40.6412484973       631342992.017       4073.14509689      -57.4279950656        4989.2980589     -0.807769834548       50.9560167463       75.7529885419      -35.1800355965      -1.03909876389  2020-01-03T17:02:02.832            5323.272            64.65292      -5.51227851517       116.389378465      -5.84184526019
              ENGL01                   1        39.926553366       631342992.084       4074.21348163       -56.121461812       4987.19717329     -0.789187793692       50.9370128422        74.783122925      -28.7367644133     -0.846680616048  2020-01-03T17:02:02.899            2474.985            64.17878      -4.68447690045       116.678851728      -5.01943763268
