             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              FRMP03                   1       52.3112916015       631121743.006       4717.97920097       64.6958379255       4413.14278596      0.785625793697       43.2745287226       92.4671753987       34.1218306027       1.02794835354  2020-01-01T03:34:33.822            873.6672            174.8436      -2.10072647208       114.112949165      -2.38740111975
              FRMP03                   1       50.7215281281        631121743.14       4716.69895241       60.4905023282       4408.66276127      0.734763978642       43.2537012364       88.4239074688        9.1566640919      0.282431209232  2020-01-01T03:34:33.955            1559.348            141.3094       -2.7345804744       111.454724161      -2.97007288125
              FRMP03                   1       49.9096185961       631121743.206       4716.10526131       58.5403573164       4406.58523437      0.711168001803         43.24402632       86.5501273349      -16.9406078835      -0.52788903013  2020-01-01T03:34:34.022            2216.209            151.0035      -3.11889375858       110.321521019      -3.33219496304
              FRMP03                   1       49.4800956173        631121743.24        4715.8009489       57.5407578487       4405.52034188      0.699070849743       43.2390631083       85.5899680435      -22.4822291845     -0.704117617955  2020-01-01T03:34:34.055            2850.236            159.7834       -3.3935145304       109.766053894      -3.59585478808
              FRMP03                   1       49.0280435922       631121743.273       4715.48695999       56.5093731615       4404.42158799       0.68658733101       43.2339391822       84.5994889812      -21.3516287765      -0.67210513868  2020-01-01T03:34:34.089            2670.794            154.8172      -3.32447091605         109.2113273      -3.51580934272
              FRMP03                   1       48.5624825563       631121743.306       4715.17086411       55.4710675562       4403.31546111      0.674018298696       43.2287779025       83.6025803936      -16.6895149396     -0.527958472203  2020-01-01T03:34:34.122            3320.762             160.338       -3.5626081608       108.672044843       -3.7431973563
              FRMP03                   1       48.1216883744        631121743.34       4714.87613334       54.5029416482         4402.284098      0.662297238022       43.2239627905        82.673249604      -2.70578030184    -0.0859789578702  2020-01-01T03:34:34.155             4547.42            165.9113       -3.9055212048       108.186790448      -4.07639238915
              FRMP03                   1       46.6729206861        631121743.44       4713.96044707        51.495113187       4399.07980064      0.625871882184       43.2089863797       79.7871605255       4.54407336188      0.146281384375  2020-01-01T03:34:34.255            7401.337             171.136      -4.43990210763       106.789894058      -4.58255288597
              FRMP03                   1       46.1507399541       631121743.473       4713.64281457       50.4517601325       4397.96829661      0.613233259102       43.2037855221        78.786463785       13.1430245415      0.424864830163  2020-01-01T03:34:34.289            7211.012             169.571      -4.41371579477       106.345329886       -4.5473079087
              FRMP03                   1       45.6887691952       631121743.507       4713.36786705       49.5486178567       4397.00616182       0.60229165102       43.1992811449       77.9204233771       18.0104329768      0.584230809596  2020-01-01T03:34:34.322            5540.341            171.6464      -4.12947426862       105.977479591       -4.2555422021
              FRMP03                   1       45.1387154465        631121743.54       4713.05162776       48.5098411718       4395.89953309      0.589705193279       43.1940975019       76.9245247817       1.90300023082     0.0619662768559  2020-01-01T03:34:34.355            3271.404            164.9607      -3.55980491337         105.5740837      -3.67759151726
 
              FRMP01                   1       52.8745676511       631121742.994        4718.0880831       65.0534918262       4413.52380152      0.789950141848       43.2762978015       92.8112100391      -52.1584580163      -1.61323630015  2020-01-01T03:34:33.810            685.1499            149.6438      -2.04497828014       111.147753334      -2.27448172307
              FRMP01                   1       53.2805755275       631121743.061       4717.44690608       62.9473660096       4411.28010528      0.764482239253       43.2658751057       90.7856547229      -22.1374503008     -0.703932879221  2020-01-01T03:34:33.877            1324.235            217.0251      -2.75959597982       108.111088609        -2.928947182
              FRMP01                   1       53.5107987776       631121743.095       4717.10654412       61.8293516544       4410.08906314      0.750959939109       43.2603373595       89.7107730865       24.5506033176      0.792464527027  2020-01-01T03:34:33.910            1887.852            206.4486      -3.14413961475        106.50162454      -3.28092077678
              FRMP01                   1       53.9564916641       631121743.161       4716.46158498       59.7108023967       4407.83213197      0.725330662639       43.2498343063       87.6746474816       59.2537206751       1.96892813756  2020-01-01T03:34:33.977            2698.288            195.6136      -3.53105843761       103.456960379      -3.60485700989
              FRMP01                   1       54.8722333433       631121743.295       4715.21046728       55.6011552961       4403.45404607      0.675593149678       43.2294247148       83.7274696352      -6.29433569059     -0.221767675428  2020-01-01T03:34:34.110            3705.372            128.4636      -3.87366666667       97.5720749107      -3.82029436937
              FRMP01                   1       55.1182647122       631121743.328       4714.91129805       54.6184500127       4402.40715128      0.663695772975        43.224537424       82.7841193247       31.9131677876       1.14079224815  2020-01-01T03:34:34.144             4410.85            143.8493       -4.0624362992       96.1694784706      -3.97762260351
              FRMP01                   1       55.6091872739       631121743.395       4714.30916579       52.6405776853       4400.30008594      0.639745397467       43.2146927653       80.8860476231      -14.4741833352     -0.533018314736  2020-01-01T03:34:34.210            11685.42             155.722       -5.1193473366       93.3524725939      -4.96997646381
              FRMP01                   1       56.1551334887       631121743.461       4713.69028613        50.607693804       4398.13441574      0.615122268613       43.2045630046       78.9360082818      -13.6179512881     -0.517487493555  2020-01-01T03:34:34.277             10981.4            156.0773      -5.05091244717       90.4660869659      -4.83334147559
              FRMP01                   1       56.7317003344       631121743.528       4713.07763551       48.5952709389       4395.99054306      0.590740378832       43.1945239215       77.0064199744      -4.49855299775     -0.176502350162  2020-01-01T03:34:34.344            6093.447            156.3216      -4.41043192924       87.6185843836      -4.12341309018
              FRMP01                   1       56.9932499917       631121743.561       4712.81113092       47.7198618504       4395.05795296      0.580132148621       43.1901533899       76.1673001526      -3.45510584042     -0.137501009513  2020-01-01T03:34:34.377            3191.032            174.4397      -3.70766093645       86.3832127286      -3.38980769701
 
