             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ENSE02                   1        40.416406138       631121021.535       4072.36690819       153.650193949       4986.95897078       2.16074189513       50.9310953154        75.016948765       64.5563606716       1.94831177506  2020-01-01T03:22:32.351            194.9091            45.38593       -1.7172952335       113.908081301      -2.00006791624
              ENSE02                   1       39.6410096223       631121021.602       4071.10209251       154.618967561       4986.18856626       2.17502734788       50.9352477461       73.6453437456      -26.2133396118     -0.793752905082  2020-01-01T03:22:32.418            280.0765            56.48162      -2.11717721496        113.53007394      -2.39273181848
              ENSE02                   1       39.2057078169       631121021.635       4070.39398057       155.161339209       4985.75725231       2.18302887222       50.9375725072       72.8775298892      -69.0353795428      -2.09411698303  2020-01-01T03:22:32.451            347.2172            59.50188      -2.35414721274        113.32996153      -2.62587091946
              ENSE02                   1       38.8567686418       631121021.668       4069.79191124       155.622488521       4985.39052936       2.18983425924       50.9395491295       72.2247469859       -14.090045879     -0.428024807369  2020-01-01T03:22:32.484            426.0065            50.96252      -2.57919258219       113.166361534       -2.8477793467
              ENSE02                   1        38.247217686       631121021.735       4068.78263008       156.395537883       4984.77577197       2.20124687416       50.9428626542       71.1305504008      -5.05868530872     -0.154026611875  2020-01-01T03:22:32.551            179.3438            30.21104       -1.6452894755       112.905678377      -1.90886839796
              ENSE02                   1        37.389802333       631121021.802       4067.37756339        157.47173543       4983.91993997       2.21714403941       50.9474755763       69.6074745294       1.39513076927       0.04260506712  2020-01-01T03:22:32.618            641.9828            44.18348      -3.03788830094       112.571264909      -3.29502603131
              ENSE02                   1        36.954893803       631121021.835       4066.66690795        158.01605524       4983.48707677       2.22518856988       50.9498087073       68.8372234676       12.0797356505      0.369409171114  2020-01-01T03:22:32.651            521.5063            72.09702      -2.81646978534       112.414838914      -3.07058799778
              ENSE02                   1       35.7973090837       631121021.936       4064.81316177         159.4359146       4982.35795221       2.24618556848        50.955894696       66.8283102594      -17.6220190842     -0.540664834639  2020-01-01T03:22:32.752            723.9744            45.29095      -3.18455512695       112.047309293      -3.43156228614
              ENSE02                   1       35.4465786345       631121021.969       4064.23003899       159.882551983       4982.00276968       2.25279431495       50.9578091349       66.1964636559        38.606584918       1.18559118925  2020-01-01T03:22:32.785            798.3158            49.25036      -3.29449223477       111.943873849      -3.53949389333
              ENSE02                   1       34.9982375142       631121022.003       4063.52041453       160.426082126       4981.57053445       2.26083922935       50.9601388903       65.4276010079       24.7392955859      0.760534324176  2020-01-01T03:22:32.818             727.312            46.51663      -3.19836618513       111.825900409      -3.44107820387
              ENSE02                   1       34.6303082866       631121022.036       4062.92799289       160.879841878       4981.20968795       2.26755751559       50.9620838601       64.7857719074       44.6349500589       1.37329341279  2020-01-01T03:22:32.852            829.6566            44.68124      -3.34554339205       111.734073901      -3.58647156069
              ENSE02                   1       34.2563290145        631121022.07       4062.34139088       161.329144143       4980.85238621       2.27421167429       50.9640097241       64.1502897972       28.5287429554      0.878417857509  2020-01-01T03:22:32.885            834.3954            44.78539      -3.35614796532       111.649138656      -3.59542485008
              ENSE02                   1       33.8461391376       631121022.103       4061.69927481       161.820966878       4980.46127062       2.28149769347        50.966117846       63.4547157208       12.1266990961      0.373676897498  2020-01-01T03:22:32.919            1014.791            54.45583      -3.57365085598       111.563013885      -3.81125204727
              ENSE02                   1       33.4584493871       631121022.136       4061.09872062       162.280955682       4980.09547055       2.28831413295       50.9680895168       62.8042090361      -16.0367337016     -0.494490504972  2020-01-01T03:22:32.952            1409.968            55.72245      -3.93559244593        111.48895583        -4.171751686
              ENSE02                   1       33.0198754163        631121022.17       4060.42688027       162.795545443       4979.68624978       2.29594200078       50.9702952261       62.0765387811      -63.6221074527      -1.96310692787  2020-01-01T03:22:32.985            906.7916            49.56242      -3.46201045576       111.413559293      -3.69670069935
              ENSE02                   1       32.6076729403       631121022.203       4059.77595176       163.294117981        4979.2897665       2.30333477234       50.9724322798       61.3715705066      -51.7020899697      -1.59624477975  2020-01-01T03:22:33.019            948.6591            45.55085      -3.51652522354       111.348030234      -3.74993791701
              ENSE02                   1       31.8929387808       631121022.269       4058.62620676       164.174754294         4978.589452       2.31639834364       50.9762069888       60.1265002195       36.5917696593       1.13072164805  2020-01-01T03:22:33.085            1340.857             48.5102      -3.90218656309       111.250408095      -4.13369462689
 
              FRNP03                   1       68.8783404206       631121020.929       4083.39091384       145.206461057       4993.67373879        2.0365949182       50.8949040812       86.9798967851      -63.4368274537      -2.33607454631  2020-01-01T03:22:31.745            713.6796            155.2908      -2.07999141157       93.3530992939       -1.9306351164
              FRNP03                   1       67.4177506531       631121021.029       4081.46011024       146.685341816       4992.49767823       2.05829165593       50.9012426591       84.8835838355       35.3486005491       1.32024173427  2020-01-01T03:22:31.845             811.403            136.0075      -2.22191927495       92.0434062921      -2.04188268708
              FRNP03                   1       60.2174376661       631121021.496       4072.62419176       153.453130037       4987.11568328       2.15783706064       50.9302506472        75.295978654      -10.6297874498     -0.420639333321  2020-01-01T03:22:32.312            1781.299             149.663      -3.09209453142       86.8737534948      -2.78653746233
              FRNP03                   1       58.6224706629       631121021.596       4070.79120334        154.85709018       4985.99920236       2.17854000143       50.9362684077       73.3082356016       26.1627821994       1.04600570888  2020-01-01T03:22:32.412            5179.622            161.0028      -4.25558019068       85.9852134845      -3.92769906003
              FRNP03                   1       58.0377261265        631121021.63       4070.12829812       155.364836172       4985.59542401       2.18603172749        50.938444755       72.5894630325      -22.1764530629     -0.889782713188  2020-01-01T03:22:32.445            2711.512            276.6492      -3.55464266283        85.680505283      -3.21905275779
              FRNP03                   1       57.5358568872       631121021.663       4069.56311202        155.79773512       4985.25116679       2.19242096363        50.940300289        71.976687032       30.4533752017       1.22549085419  2020-01-01T03:22:32.478            2388.851            274.8251      -3.41865736668       85.4278092348      -3.07665371258
              FRNP03                   1       56.3466707616        631121021.73        4068.2366513       156.813725162       4984.44321402       2.20742290748       50.9446551352       70.5386873736      -2.07424525595    -0.0840286121464  2020-01-01T03:22:32.545            4980.795            189.4211      -4.22032296047       84.8607367233      -3.86385694947
              FRNP03                   1       54.6741963285       631121021.829       4066.39949306       158.220879149       4983.32419324       2.22821637834       50.9506866496       68.5473989951       14.4360328117       0.58984304488  2020-01-01T03:22:32.645            10857.53            169.9757      -5.07230486107       84.1366637155      -4.69723129544
