             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              FRAU03                   1       37.7109945067        631296790.42       4495.36626787       163.588315157       4650.84520342       2.08409845984       46.1441733354       103.289279848      -64.9722506296      -1.29093154974  2020-01-03T04:12:01.236            1395.995            166.2697      -3.04412857554       173.020917015      -4.23462162284
              FRAU03                   1       37.3981287936       631296790.454       4494.69337168       162.056265998       4650.10484497       2.06490610195       46.1442789999       102.251085877       43.8709783759      0.873525926491  2020-01-03T04:12:01.269            2719.036            171.2096      -3.77005064342       172.653512092      -4.95592772906
              FRAU03                   1       36.3012890955       631296790.554       4492.61936631       157.334173323       4647.82290695       2.00571221205       46.1445845993        99.053358371      -5.14972080468      -0.10314349231  2020-01-03T04:12:01.369            6173.293            213.5252      -4.66799516494       171.638904969      -5.84107384061
              FRAU03                   1       35.9330362788       631296790.587       4491.93063481       155.766070352       4647.06512559       1.98604218069       46.1446793642       97.9921992965      -2.59563457812    -0.0520780047442  2020-01-03T04:12:01.403            6116.587            203.7868      -4.66068546633       171.341710073      -5.83000095161
              FRAU03                   1       34.7609379794       631296790.687       4489.78620115       150.883626658       4644.70569839       1.92475596398        46.144952923       94.6905276867       12.1286393282      0.244482325971  2020-01-03T04:12:01.503            8644.779            177.2791      -5.04538602072       170.544805742      -6.20457850423
              FRAU03                   1       34.3745754594        631296790.72       4489.09519206        149.31033808       4643.94541111       1.90499405115       46.1450341272       93.6273765446       15.7079363705      0.317031556921  2020-01-03T04:12:01.536             7846.01            184.6492      -4.94328396071       170.329756089      -6.09973658327
              FRAU03                   1        33.995465498       631296790.754       4488.41824538       147.769066774       4643.20059608       1.88562796367       46.1451103905       92.5862202125       31.0735730133      0.627857884173  2020-01-03T04:12:01.569             6532.18            193.3675      -4.74749279706       170.138943474      -5.90151145507
              FRAU03                   1        33.185063285        631296790.82       4487.00914794       144.560835598       4641.65022737       1.84529639136       46.1452586845       90.4201433229       25.0253022611      0.506643568159  2020-01-03T04:12:01.636            3822.175            207.0798      -4.17272903633        169.80508266      -5.32248246404
              FRAU03                   1       32.7906167774       631296790.854       4486.33883809       143.034675012       4640.91271456       1.82610106185       46.1453242655       89.3902783959       7.17323402734      0.145334065084  2020-01-03T04:12:01.669            2139.745            156.4735      -3.54646960142       169.676408084      -4.69457691108
              FRAU03                   1       31.9260377222       631296790.921       4484.90058939       139.760072286       4639.33027199       1.78489390699       46.1454541634       87.1817297983       -62.810938243      -1.27416654373  2020-01-03T04:12:01.736            2004.459            216.9686       -3.4838522781        169.46616281      -4.62926725771
 
              FRLI01                   1       44.3161254593       631296790.438       4493.63491556       159.646374499       4648.94027167       2.03470422773       46.1444387527       100.618729446      -34.1834416356     -0.823376092316  2020-01-03T04:12:01.253            4111.056             366.886       -4.4648292189        142.72216617       -5.2372863619
              FRLI01                   1       44.6255229975       631296790.504       4492.01754309        155.96394301         4647.160747       1.98852462192       46.1446675911       98.1260824878       59.9639855158       1.48760314539  2020-01-03T04:12:01.320            5505.827            267.6322      -4.78072087216       138.572587393      -5.48910750257
              FRLI01                   1       45.0237665598       631296790.604       4489.71725356       150.726646869       4644.62983835         1.922784451       46.1449611776       94.5844318285       21.9565199073      0.568815580338  2020-01-03T04:12:01.420            9061.592            260.6975      -5.32005896443       132.698468628      -5.93438851958
              FRLI01                   1       45.3283149352       631296790.671       4488.10571708       147.057502758       4642.85673477       1.87668503867       46.1451445003       92.1056659623       24.4952656416      0.654786312403  2020-01-03T04:12:01.486             12487.1             320.018      -5.66698934159       128.604584872       -6.2132716009
              FRLI01                   1       45.5655558193       631296790.738       4486.76702787       144.009576927       4641.38383317       1.83836362853       46.1452827422         90.04810945       -34.633648362     -0.950830384698  2020-01-03T04:12:01.553            12205.21            441.8192        -5.641268236       125.218671266      -6.12961369121
              FRLI01                   1       45.6931759917       631296790.771       4485.97026087       142.195498877       4640.50718505          1.81554368        46.145358961       88.8241446429      -110.045334563      -3.07042595898  2020-01-03T04:12:01.586            5139.817            346.6089      -4.70177885075       123.210313317      -5.15501416056
              FRLI01                   1       46.2662235971       631296790.871       4483.60503674       136.810359736       4637.90483168       1.74775090937       46.1455585213       85.1936802098       76.5619820245       2.24417706689  2020-01-03T04:12:01.686            4465.515            325.7534      -4.54690671362       117.281638082      -4.89305682946
              FRLI01                   1       46.5441839887       631296790.938       4482.16212087       133.525130794       4636.31725403       1.70635606016       46.1456606058       82.9810373935      -3.63003253317     -0.109762935031  2020-01-03T04:12:01.753            3926.089            260.2625      -4.40609435653       113.691681272      -4.68473780092
 
