             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              FRCE03                   1       47.8737951842       631267270.354       4385.03082121       139.377047577       4731.00980735       1.82051832696       47.3483544671         85.54762007      -21.3715016487      -0.64060973851  2020-01-02T20:00:01.170            1662.669            247.5773      -3.38030748707       114.687316846      -3.67788444893
              FRCE03                   1       47.6288276507       631267270.387       4384.88890828       139.705816837       4730.65433565       1.82486877123       47.3470744307       85.1971591207       68.6045374112       2.05751323039  2020-01-02T20:00:01.203            1134.277            189.7463      -2.96570244423       114.626271026      -3.26212326599
              FRCE03                   1       46.6425519035       631267270.521       4384.25827796       141.166796233       4729.07469639       1.84420435468       47.3413825433       83.6400328756      -28.8964011948     -0.868483881568  2020-01-02T20:00:01.337            1415.697            198.5183      -3.20887534157       114.381527594      -3.50065480337
              FRCE03                   1       46.3530992497       631267270.554       4384.06680114       141.610390003        4728.5950742       1.85007619075       47.3396531384       83.1673258807      -114.272566089      -3.43644782976  2020-01-02T20:00:01.370            1899.126            261.3607      -3.52860678038       114.315817029      -3.81913840361
              FRCE03                   1       45.8590632511       631267270.621       4383.79019412       142.251204685       4727.90221293       1.85855947055        47.337153864       82.4845198061       115.736951485       3.48316150048  2020-01-02T20:00:01.437            1669.231            244.2933      -3.38986058745       114.227989544      -3.67872325302
              FRCE03                   1       45.6336969344       631267270.654       4383.64838195       142.579740504       4727.54699363       1.86290910101       47.3358720755        82.134485678       99.1363400054       2.98464876685  2020-01-02T20:00:01.470             1000.96            192.3027      -2.83523790131       114.186220151      -3.12330638612
              FRCE03                   0       44.8939813792       631267270.754        4383.1525559       143.728419243        4726.3050199        1.8781190081       47.3313880909       80.9108012298      -206.819105533      -6.23363107714  2020-01-02T20:00:01.570            2516.935             314.258      -3.83848774536       114.057580928      -4.12410852687
              FRCE03                   1       44.2727588485       631267270.821       4382.78626168       144.577011993       4725.38750495       1.88935745108        47.328073131       80.0069575422      -85.1339764798      -2.56772430655  2020-01-02T20:00:01.637            1327.754            223.6708      -3.14594263417       113.979968029      -3.43008528826
              FRCE03                   1       43.7930754804       631267270.887       4382.50475683       145.229173429       4724.68237536       1.89799560953       47.3255241327       79.3124269983       14.4010878522      0.434539794614  2020-01-02T20:00:01.703            2302.451            269.3211      -3.74508995727       113.930402391       -4.0282881136
              FRCE03                   1       43.2910927176       631267270.954       4382.18695875       145.965415308       4723.88633636       1.90774867945        47.322645059       78.5284500831      -73.8575228062      -2.22947300143  2020-01-02T20:00:01.770            1390.805            220.7327      -3.19935565446       113.884991546      -3.48168812391
              FRCE03                   0       42.5027071364       631267271.054       4381.74268888       146.994653995       4722.77350352       1.92138529319       47.3186176541       77.4326512798       224.283671257       6.77292762006  2020-01-02T20:00:01.870            2137.494            260.9253      -3.66851929881       113.840277979      -3.94999903658
              FRCE03                   1        41.994195907       631267271.121       4381.40448121       147.778178718       4721.92634139       1.93176809566       47.3155497187       76.5985908389      -13.9854145944     -0.422403126351  2020-01-02T20:00:01.937            3733.192            359.3575      -4.27567565334       113.820924192      -4.55678619149
              FRCE03                   1       41.4416652593       631267271.187       4381.06849587       148.556554953       4721.08474591       1.94208413501       47.3125002233       75.7701259187      -18.7659733261     -0.566824022717  2020-01-02T20:00:02.003            2183.699            260.4191      -3.69538102607       113.814274791      -3.97636470342
              FRCE03                   1       40.8674054669       631267271.254       4380.72498929       149.352355625       4720.22431078       1.95263261101       47.3093806907       74.9232338027       19.9167460929      0.601550401941  2020-01-02T20:00:02.070            2106.076            256.7345       -3.6581505124       113.820438641      -3.93925178719
              FRCE03                   1       40.4012894026       631267271.321       4380.44019046       150.012148244        4719.5109302        1.9613794307       47.3067929494       74.2211725217      -2.19455018845    -0.0662737795078  2020-01-02T20:00:02.137            2746.129            310.3872      -3.94799676519        113.83548488      -4.22938507396
              FRCE03                   1       40.2031634616       631267271.354       4380.31806632       150.295072876        4719.2050266       1.96513046109       47.3056829266       73.9201479793      -21.5419350846     -0.650497758131  2020-01-02T20:00:02.170            2615.778             310.107      -3.89594608159       113.844695349      -4.17751007785
              FRCE03                   1       39.5642463786       631267271.421         4379.944998        151.15935913       4718.27054354       1.97659040694       47.3022905928       73.0006634894       93.2333824805       2.81440284299  2020-01-02T20:00:02.237            3066.827            306.5943      -4.07114491127       113.883081009      -4.35344095177
              FRCE03                   1       39.3309724893       631267271.454       4379.79795121       151.500022004       4717.90221223       1.98110789654       47.3009529055       72.6382828256       40.7493342151         1.229876084  2020-01-02T20:00:02.270            2017.519            240.1613      -3.61739436161       113.902451553       -3.9000597197
              FRCE03                   1       38.8393672692       631267271.521       4379.49474396       152.202461352       4717.14272118       1.99042374048       47.2981935855       71.8911312915      -13.3801472592     -0.403664556669  2020-01-02T20:00:02.337            2094.467            226.1053      -3.66003432595         113.9499557      -3.94360512933
              FRCE03                   1       38.3132570707       631267271.587       4379.18982416       152.908868135       4716.37894046       1.99979339584       47.2954172698       71.1398541024       100.260170749       3.02320227193  2020-01-02T20:00:02.403            2334.436            260.2536      -3.78001350643       114.007989048      -4.06468993319
              FRCE03                   1       37.4941519462       631267271.688       4378.67857353       154.093280964       4715.09833034       2.01550592718       47.2907591218       69.8804206276      -46.0193252342      -1.38618333756  2020-01-02T20:00:02.504            82168.22            415.1174      -7.64990195206        114.12833735      -7.93686940407
              FRCE03                   1       37.2721066659       631267271.721        4378.5443185       154.404309192       4714.76204058       2.01963261484       47.2895352267       69.5497360038      -46.9948651277      -1.41511722939  2020-01-02T20:00:02.537            163083.4              528.74      -8.39517010515       114.164718066       -8.6828296476
              FRCE03                   1       37.0293155433       631267271.754       4378.39772052        154.74393231       4714.39483348       2.02413896139       47.2881984972       69.1886703109      -45.9834443812      -1.38415204932  2020-01-02T20:00:02.570              216856            569.7437       -8.7056877197       114.206708954      -8.99414580388
              FRCE03                   1       35.8227588513       631267271.921       4377.67121446        156.42702674       4712.57503913       2.04647546651       47.2815691384       67.3996345087      -15.8036651858     -0.474697964597  2020-01-02T20:00:02.737            69272.31            390.5559      -7.47245468054       114.449615395      -7.76552636844
              FRCE03                   1       35.2141047535       631267271.988       4377.30227069        157.28175767       4711.65088747       2.05782128221         47.27819945        66.491309026      -16.9600362286      -0.50878551062  2020-01-02T20:00:02.804            110939.6            430.0975      -7.98687276873        114.59506845       -8.2827024105
              FRCE03                   1       34.9977980877       631267272.021       4377.16883456       157.590888772       4711.31664892       2.06192516215       47.2769802212       66.1628285258      -37.6073414293      -1.12763218134  2020-01-02T20:00:02.837            74721.27            373.2084      -7.55889918194        114.65132483      -7.85579456943
              FRCE03                   1       34.4794278943       631267272.088       4376.85511443       158.317683263       4710.53082462       2.07157464816       47.2741126364       65.3906134428      -28.0536110345     -0.840144626646  2020-01-02T20:00:02.904            80163.34            383.1861      -7.63800898313       114.791204471      -7.93755204731
              FRCE03                   1       33.9541107742       631267272.154       4376.53842771       159.051350439       4709.73756944       2.08131666507       47.2712164116       64.6111980248       -1.6993324023    -0.0508240054384  2020-01-02T20:00:02.970            142562.1            475.2996      -8.26599878119       114.943212932      -8.56841544376
              FRCE03                   1       32.6381205748       631267272.321       4375.73388346       160.915235729       4707.72230051       2.10607210871       47.2638516482       62.6315495659      -13.9731685163     -0.416338028204  2020-01-02T20:00:03.137            5772.261            235.9285      -4.79214706552       115.377919005      -5.10276057357
              FRCE03                   1       31.9639295331       631267272.421       4375.32583244       161.860566317       4706.70019074       2.11863082379       47.2601125858       61.6277586136       36.5644473704       1.08713090879  2020-01-02T20:00:03.237            5129.012            317.2717      -4.66814811976       115.624821392      -4.98340349418
              FRCE03                   1       31.1318461106       631267272.522       4374.81248513       163.049836521       4705.41432872       2.13443331428       47.2554050529       60.3651842784       25.5923284429      0.758706338065  2020-01-02T20:00:03.337            3270.949            230.3535      -4.18532917391        115.96047402      -4.50687908384
              FRCE03                   1        30.667345926       631267272.588        4374.5246978       163.716552574       4704.69346239       2.14329381937       47.2527642018       59.6574911325       17.9677917179      0.531751992999  2020-01-02T20:00:03.404            3135.802            252.6883      -4.14278424439       116.160765749      -4.46808157588
              FRCE03                   1       30.4307900393       631267272.622       4374.37396057       164.065765073       4704.31588706        2.1479351986        47.251380471       59.2868494661      -23.2718418561     -0.688082043203  2020-01-02T20:00:03.437            3887.009             281.734      -4.37766006553        116.26913038      -4.70498218667
              FRCE03                   1       29.6973257657       631267272.722       4373.92531223       165.105147353       4703.19208678        2.1617513422       47.2472599305       58.1838238622       44.0821814648       1.29962309216  2020-01-02T20:00:03.537            4015.078            275.9313      -4.41835367983       116.605644147      -4.75195154183
