             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ITSI01                   1       29.9021700901       631267237.142       4971.50121804        1294.4435388       3874.32387543       14.5942200922       37.2055443954       64.0636724182      0.070696733706     0.0021055296343  2020-01-02T19:59:27.958            225.7758            48.98701      -2.23762728225        115.42818683      -2.54918665086
              ITSI01                   1        29.812296415       631267237.176       4971.09785003       1294.59355193        3874.2923461       14.5969729534       37.2072221357       63.7638155944       51.7602921209       1.54411556958  2020-01-02T19:59:27.992            226.5819             33.9213      -2.24272581407       115.236708022      -2.55068003034
              ITSI01                   1       28.9971760388       631267237.443       4968.31165943       1295.62974014       3874.07456305       14.6159981609       37.2188133367       61.6930180016      -28.5338339694     -0.860834961749  2020-01-02T19:59:28.259            303.5928             32.8156      -2.57196999396       113.949947458      -2.85554064029
              ITSI01                   1       28.8855400277       631267237.476       4967.91806934       1295.77611685       3874.04379801       14.6186872037       37.2204511175       61.4005451642      -25.4154898413     -0.767948402839  2020-01-02T19:59:28.292            334.8178            37.67823      -2.67991160376       113.773295168      -2.96011328654
              ITSI01                   1       28.7980099274       631267237.509       4967.59761438        1295.8952945        3874.0187496       14.6208768467       37.2217846381       61.1624288377       -13.571364408     -0.410584733465  2020-01-02T19:59:28.325            291.1869            38.71275      -2.52962380802       113.630417059       -2.8070968114
              ITSI01                   1       28.5659841317       631267237.576       4966.80607059       1296.18967075       3873.95687844       14.6262864258       37.2250787663       60.5743071091      -19.0688171718     -0.578681910108  2020-01-02T19:59:28.392            262.2834            42.23933      -2.41962585313       113.281173022      -2.69041454049
              ITSI01                   1        28.154515777        631267237.71       4965.37877739        1296.7204831       3873.84531383       14.6360445367       37.2310195575        59.513965552       2.54050725777     0.0775186453649  2020-01-02T19:59:28.526            274.5677            35.34982      -2.47571437511       112.664773522      -2.73465511522
              ITSI01                   1       28.0486926837       631267237.743       4965.00042422       1296.86119318        3873.8157398       14.6386320548       37.2325945618       59.2329169926       19.3456551985      0.591137175025  2020-01-02T19:59:28.559            364.0125            38.42788      -2.78356316194       112.504284082      -3.03940846385
              ITSI01                   1       27.9231693478       631267237.777        4964.6218259       1297.00199443       3873.78614659       14.6412215832       37.2341706678       58.9516995221      -10.5491028549     -0.322801815775  2020-01-02T19:59:28.593            468.5624            49.18336      -3.05970631304        112.34492082      -3.31247352549
              ITSI01                   1       27.7864196396        631267237.81       4964.19662243        1297.1601282       3873.75291049       14.6441302784       37.2359408878       58.6358801506      -32.2095048124     -0.987168394805  2020-01-02T19:59:28.626            597.0338            40.13677      -3.32500640268       112.167413691      -3.57433993373
              ITSI01                   1       27.7047320678       631267237.843        4963.9060099       1297.26820741       3873.73019472       14.6461185178       37.2371508335       58.4200376233       -17.272020739     -0.529927953431  2020-01-02T19:59:28.659             1008.13            52.66597      -3.89514044347       112.046994014      -4.14214149255
              ITSI01                   1       27.5921152774       631267237.877        4963.5387969       1297.40477444       3873.70149145       14.6486311044       37.2386797685       58.1473138395      -20.2713294348     -0.622790545247  2020-01-02T19:59:28.693            1515.764            51.14661       -4.3397916473       111.895883744      -4.58386220058
