             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ITPU02                   1       40.8612701046       631119401.358        4763.5649489       1448.75052216       4132.78721722       16.9161726213       39.8804419468       101.343193005      -19.2379850194     -0.432314903218  2020-01-01T02:55:32.174            166.2062            37.26685       -1.6516542779       152.979508473      -2.57482058385
              ITPU02                   1        39.836779928       631119401.426        4759.4477974       1447.45406134       4131.38934501       16.9156844182       39.8954765421       97.1349011837       38.7341899523      0.889759329103  2020-01-01T02:55:32.241            491.0708            59.44132      -2.83637335236       149.656583002      -3.71185247774
              ITPU02                   1       39.3753911857       631119401.459       4757.62761941       1446.88090063       4130.77135069       16.9154683152       39.9021295171       95.2745723759       24.2683892433      0.562915260478  2020-01-01T02:55:32.275            479.5936            54.75389      -2.81469870121       148.208058529      -3.66905779229
              ITPU02                   1       38.8713044714       631119401.492        4755.6749326       1446.26601387       4130.10836644       16.9152362955       39.9092710828       93.2789086817      -2.51124598761    -0.0588607462647  2020-01-01T02:55:32.308            521.4497            41.92885        -2.910057621       146.668677067       -3.7417444946
              ITPU02                   1       38.3713171009       631119401.526       4753.80341811       1445.67668768       4129.47294214       16.9150137413       39.9161199137       91.3662980738       1.54565210501     0.0365927784357  2020-01-01T02:55:32.341            571.8715             43.9351      -3.01489680497       145.207900581      -3.82484803711
              ITPU02                   1       37.8461321131       631119401.559       4751.86741936       1445.06705586       4128.81562388       16.9147833338       39.9232089899       89.3878843623      -14.1016266487      -0.33732545477  2020-01-01T02:55:32.375            615.5198            42.80438      -3.09978074273       143.712314094      -3.88725065556
              ITPU02                   1       36.8044228084       631119401.626       4748.15766056       1443.89888001       4127.55607132       16.9143413006       39.9368052006       85.5971263909      -38.8450140113     -0.947810788923  2020-01-01T02:55:32.441            1001.988            64.92462      -3.63934150791       140.892389193      -4.38377917676
              ITPU02                   1       35.6956405668       631119401.693       4744.41216913       1442.71945222       4126.28438666       16.9138943064       39.9505485655       81.7702245858       -13.873036866     -0.345319672867  2020-01-01T02:55:32.508            653.0443            44.83213      -3.18659057537       138.109675396      -3.88771109803
              ITPU02                   1       34.4564831571       631119401.759       4740.39882212       1441.45567867       4124.92175858       16.9134145594       39.9652928658       77.6700574207      -6.84684413517     -0.174090042948  2020-01-01T02:55:32.575            2026.551             69.3817      -4.43076934423       135.204265261      -5.08572130633
              ITPU02                   1       33.8348962954       631119401.792       4738.45051221       1440.84217016       4124.26026039       16.9131813687       39.9724573565       75.6797539943      -8.91869038203     -0.229108760988  2020-01-01T02:55:32.608            2201.747            78.93642      -4.52865532236       133.823774334      -5.16132169465
