station	time[s]	height[km]	l.obs[km]	l.com[km]	l.O-C[km]	v.obs[km/s]	v.com[km/s]	v.O-C[km/s]	dec.com[km/s]	azi[deg]	zen[deg]	alt[deg]	ra[deg]	ha[deg]	dec[deg]	mag	abs.mag	lum[erg]	r.obs.x[km]	r.obs.y[km]	r.obs.z[km]	r.pro.x[km]	r.pro.y[km]	r.pro.z[km]	r.dst.x[km]	r.dst.y[km]	r.dst.z[km]	r.err.x[km]	r.err.y[km]	r.err.z[km]	r.err[km]	s.obs.x[km]	s.obs.y[km]	s.obs.z[km]	s.pro.x[km]	s.pro.y[km]	s.pro.z[km]	s.dst.x[km]	s.dst.y[km]	s.dst.z[km]	s.err.x[km]	s.err.y[km]	s.err.z[km]	s.err[km]	angle.dev[deg]	between.angle[deg]	lon[deg]	lat[deg]	alt[km]	theta[deg]	tau.cep	tau.pec	tau.hal	tau.hil	tau.wer	st.dist[km]
1	0	91.4656002803156	0	0.448213142168968	-0.448213142168968	9.17247483893783	7.09399712459922	2.07847771433861	0.0416573093709485	80.3570526731636	48.5557263721796	41.4442736278204	310.25559957189	48.0804031279822	6.6953277488283	1.71411449006712	0.907028130334169	0.433699326641081	6053.95334368255	-273.785798012803	2257.64297823633	84.9680390607948	-100.400772221136	15.5123236633376	84968.0390607947	-100400.772221136	15512.3236633376	0.0312309371624142	0.0154753770792158	-0.0711065086456947	0.0791896098207766	6053.92211274539	-273.801273389882	2257.71408474497	84.9341994847031	-99.9611831281655	15.5930164960083	84934.1994847031	-99961.1831281655	15593.0164960083	-0.0338395760916173	0.43958909297036	0.0806928326706402	0.448213142168964	-0.0342586048531772	0.136252048814077	-157.177567870569	20.5601054541246	91.4656002803156	357.414580829303	0	0	0	0	0	132.440608990873
1	0.05	91.4482962936629	0.492991975688294	0.802841849294913	-0.309849873606619	9.17247483893783	7.09399712459922	2.07847771433861	0.0416573093709485	80.3524677058368	48.4190104365221	41.5809895634779	310.384708789643	47.9512939102288	6.74288863091593	1.77964184106596	0.979319248827291	0.405762866996916	6053.92672156736	-273.297028419399	2257.70758534788	84.9308187343376	-99.9172658822164	15.6010781313749	84930.8187343376	-99917.2658822164	15601.0781313749	0.041829148423858	0.0207386315639014	-0.095253865133971	0.106080475677521	6053.88489241893	-273.317767050962	2257.80283921301	84.9074254256897	-99.6133778162722	15.6568611097247	84907.4254256897	-99613.3778162722	15656.8611097247	-0.0233933086479083	0.303888065944193	0.055782978349831	0.309849873626529	-0.0460239242909576	0.136252048814077	-157.174294232696	20.5607701008279	91.4482962936629	357.417854467176	0	0	0	0	0	132.06096179842
1	0.1	91.431004765098	0.917247483893783	1.15761285462889	-0.240365370735107	7.27541471164406	7.09816285553631	0.177251856107744	0.045712480944785	80.3620487695576	48.3013451603768	41.6986548396232	310.492071189454	47.8439315104185	6.79318567327714	1.68594064182028	0.891440093306623	0.439970909926866	6053.89461712866	-272.880972494722	2257.78413250302	84.8987879320215	-99.5011734554211	15.6774578166488	84898.7879320215	-99501.1734554211	15677.4578166488	0.0417555120401084	0.0207021294453298	-0.0950863952604123	0.105893925760273	6053.85286161662	-272.901674624167	2257.87921889828	84.8806406233246	-99.2654329441245	15.7207313417112	84880.6406233246	-99265.4329441244	15720.7313417112	-0.0181473086969927	0.235740511296608	0.0432735250624828	0.240365370739347	-0.046056721052551	0.117882970065591	-157.171019235389	20.5614349562068	91.431004765098	357.421129464483	0	0	0	0	0	131.734848824922
1	0.2	91.3964599287575	1.5843041824349	1.86756627762536	-0.283262095190457	5.99309929426165	7.10085399674094	-1.10775470247929	0.0439922258765788	80.3895030046471	48.1157194739932	41.8842805260068	310.658084522846	47.6779181770262	6.88096978132102	1.77348623359748	0.988144325992533	0.402478114343861	6053.83591094037	-272.230894826615	2257.92323620789	84.8484259194341	-98.8469515652377	15.7975495531335	84848.4259194341	-98846.9515652377	15797.5495531335	0.0334113363362849	0.0165579073684639	-0.0760744268824346	0.0847218986903025	6053.80249960403	-272.247452733984	2257.99931063477	84.8270399574386	-98.5691397034667	15.8485458731828	84827.0399574386	-98569.1397034667	15848.5458731828	-0.0213859619954601	0.277811861770984	0.0509963200492784	0.283262095186949	-0.036991979789081	0.186530777845732	-157.164465305264	20.5627652636735	91.3964599287575	357.427683394608	0	0	0	0	0	131.223236458448
1	0.25	91.3792070421446	1.81621237803303	2.22274095414003	-0.406528576107	7.89857696549283	7.1047616894178	0.793815276075032	0.0878680047901344	80.3763105598255	48.0498035870201	41.9501964129799	310.723423272327	47.6125794275447	6.89625154035387	1.6521680163537	0.870016037146366	0.448738761672678	6053.83083090758	-271.997274289468	2257.93666557233	84.8309171177214	-98.6195055049626	15.8393005136927	84830.9171177214	-98619.5055049626	15839.3005136927	0.045840105265379	0.0227323842407786	-0.104396023001056	0.116260939968884	6053.78499080232	-272.020006673709	2258.04106159533	84.8002246783655	-98.2207989271575	15.9124887790116	84800.2246783655	-98220.7989271575	15912.4887790116	-0.0306924393558875	0.398706577805046	0.0731882653189823	0.406528576116154	-0.0508315918227672	0.0651900157392481	-157.161186443844	20.5634307011084	91.3792070421446	357.430962256028	0	0	0	0	0	131.045697395375
1	0.3	91.3619674559422	2.37416187898419	2.57804244656714	-0.203880567582954	8.3348142242112	7.10964079721995	1.22517342699125	0.0361094867780048	80.4116631873187	47.8935553791989	42.1064446208011	310.859877264407	47.4761254354652	6.97844071533726	1.73186990164046	0.957384887796183	0.414043570326898	6053.77363341712	-271.457547195142	2258.07145945808	84.788792572909	-98.0722914856391	15.9397494329284	84788.792572909	-98072.2914856391	15939.7494329284	0.030767159611918	0.0152454592434806	-0.0700510564874858	0.0780140542027063	6053.7428662575	-271.472792654385	2258.14151051456	84.7733998248363	-97.8723337749952	15.976454515798	84773.3998248363	-97872.3337749952	15976.454515798	-0.0153927480727434	0.199957710643881	0.0367050828696229	0.203880567606721	-0.0342206527942538	0.157566498713693	-157.157906365789	20.5640963179133	91.3619674559422	357.434242334083	0	0	0	0	0	130.619253233206
1	0.45	91.3103305804301	3.48317522287527	3.64466911358402	-0.16149389070875	6.8289080474676	7.1119835867734	-0.283075539305803	0.0341741998262114	80.4301115143161	47.5775381401192	42.4224618598808	311.150728781723	47.185273918149	7.10778745962589	1.71632782748664	0.957106807596945	0.414149629297618	6053.69496156961	-270.367361388667	2258.25959514113	84.7050633425349	-96.9846166182983	16.1394076307183	84705.0633425349	-96984.6166182983	16139.4076307183	0.035824542474933	0.017756398377649	-0.0815735712274909	0.0908456661029605	6053.65913702713	-270.385117787044	2258.34116871235	84.6928707397552	-96.8262300243935	16.1684817436188	84692.8707397552	-96826.2300243935	16168.4817436188	-0.0121926027797163	0.158386593904812	0.0290741129005328	0.161493890696412	-0.0401085711669476	0.316257274021559	-157.148059188865	20.5660941713588	91.3103305804301	357.444089511007	0	0	0	0	0	129.77458955871
1	0.5	91.2931462722858	3.73994348847771	4.00043916392182	-0.260495675444115	5.774031442098	7.11647563718519	-1.3424441950872	0.0761272639539584	80.4189832013493	47.5030788437125	42.4969211562875	311.223529288769	47.1124734111035	7.12761286698938	1.63442414982429	0.878742620486677	0.445146488473893	6053.68692464881	-270.109894291055	2258.27995853082	84.6856776341647	-96.7327888195396	16.1856342062908	84685.6776341647	-96732.7888195396	16185.6342062908	0.0471733300443739	0.023395697230706	-0.107436757105403	0.11964672370655	6053.63975131876	-270.133289988286	2258.38739528793	84.6660105106439	-96.4773053298225	16.2325318359528	84666.0105106439	-96477.3053298225	16232.5318359528	-0.0196671235207468	0.255483489717066	0.0468976296619512	0.260495675460265	-0.0529037970542551	0.0738097263929862	-157.144774601333	20.5667604324671	91.2931462722858	357.447374098539	0	0	0	0	0	129.579594010103
1	0.55	91.2759762985436	4.06057836708507	4.35631667730254	-0.295738310217469	8.2258076357962	7.1195963131688	1.1062113226274	0.0341007592401123	80.4691091096132	47.4127145364812	42.5872854635188	311.294486628996	47.0415160708759	7.19523661724917	1.88941941081852	1.13814846563091	0.350542446815175	6053.63481892351	-269.809279151779	2258.40124239909	84.6614700700585	-96.4183232624002	16.2433588336501	84661.4700700585	-96418.3232624002	16243.3588336501	0.0192751688584685	0.00954527936683735	-0.0438775161933154	0.0488659484713855	6053.61554375465	-269.818824431146	2258.44511991528	84.6391421681959	-96.1282752399003	16.2966012751027	84639.1421681959	-96128.2752399003	16296.6012751027	-0.0223279018625617	0.29004802249989	0.053242441452574	0.295738310216163	-0.0216475225361027	0.0924808847791291	-157.141488975709	20.5674268363697	91.2759762985436	357.450659724163	0	0	0	0	0	129.336399676792
1	0.65	91.2416801705025	4.97381463384714	5.06837861089714	-0.0945639770500047	8.13705011831502	7.12159075107121	1.01545936724381	0.0323805041720334	80.4704845972903	47.1469424714145	42.8530575285855	311.543245555533	46.7927571443388	7.29392242300482	1.63299107969964	0.894314665663568	0.438807592859003	6053.57953646451	-268.906834864817	2258.53452729693	84.5925217835596	-95.5226585341686	16.4077708384055	84592.5217835596	-95522.6585341686	16407.7708384055	0.0329409963525832	0.0163248380980222	-0.0750046231113374	0.0835302524101376	6053.54659546815	-268.923159702915	2258.60953192004	84.5853823121879	-95.4299140584034	16.424795406539	84585.3823121879	-95429.9140584034	16424.795406539	-0.00713947137165815	0.0927444757651538	0.0170245681335218	0.0945639770554985	-0.0372024488727133	0.265318440771473	-157.134914753044	20.5687600433295	91.2416801705025	357.457233946828	0	0	0	0	0	128.645590593005
1	0.7	91.2245544222072	5.28113588483232	5.42455528996322	-0.143419405130899	7.5234714043872	7.1244533887946	0.399018015592601	0.0551884483871709	80.4780246347872	47.0571863563541	42.9428136436459	311.625363318643	46.7106393812287	7.33203544724386	1.7040879057766	0.969651322321248	0.409392112445966	6053.55635024092	-268.605418698612	2258.58981802596	84.5693193830075	-95.2212504377632	16.4630985830599	84569.3193830075	-95221.2504377632	16463.0985830599	0.0329571733167395	0.0163329078974784	-0.0750416387296282	0.083571446658803	6053.5233930676	-268.621751606509	2258.66485966469	84.5584913830757	-95.0805905590294	16.4889187051691	84558.4913830757	-95080.5905590294	16488.9187051691	-0.0108279999317601	0.140659878733801	0.0258201221092604	0.143419405150303	-0.0372879964031192	0.0899258931921211	-157.131626227439	20.5694268317792	91.2245544222072	357.460522472433	0	0	0	0	0	128.413745100717
1	0.75	91.2074438203191	5.72616177428586	5.7808239497766	-0.0546621754907446	7.25059976371018	7.12710959590993	0.123490167800253	0.0289399940373005	80.4718100487875	46.9258506575045	43.0741493424955	311.750221333223	46.5857813666493	7.3760310531559	1.71669687467368	0.988405013459579	0.402381490131786	6053.53387759829	-268.163428338024	2258.64458266525	84.5357204408254	-94.784787271724	16.5432176073655	84535.7204408254	-94784.787271724	16543.2176073655	0.0440834728730842	0.0218601024464006	-0.100396023753099	0.111805984835124	6053.48979412542	-268.18528844047	2258.744978689	84.5315935095223	-94.7311768487057	16.5530585633018	84531.5935095223	-94731.1768487057	16553.0585633018	-0.00412693130318075	0.0536104230182827	0.00984095593634993	0.0546621755139838	-0.0500162586959444	0.130796479196228	-157.128336806612	20.5700937338077	91.2074438203191	357.46381189326	0	0	0	0	0	128.078577355466
1	0.85	91.1732688584691	6.36872584938885	6.49362172934971	-0.124895879960861	6.20680043525576	7.1287943879002	-0.921993952644437	0.0272197389698704	80.526624307416	46.7379214194155	43.2620785805845	311.911766344531	46.424236355341	7.48212159056645	1.78436577793502	1.06494042909954	0.374993576388723	6053.46051261548	-267.545564262398	2258.81688284701	84.4872075931029	-94.1545867434937	16.6588998810775	84487.2075931029	-94154.5867434937	16658.8998810775	0.0192313377847895	0.00952364984166343	-0.0437781157018617	0.0487551809934583	6053.4412812777	-267.55508791224	2258.86066096271	84.47777809799	-94.0320939796101	16.6813851707657	84477.77809799	-94032.0939796101	16681.3851707657	-0.00942949511297047	0.122492763883551	0.0224852896882221	0.1248958799732	-0.0218930847970496	0.19006524094296	-157.121755422187	20.5714278494137	91.1732688584691	357.470393277685	0	0	0	0	0	127.595820452576
1	0.9	91.1562048977409	6.65718183957422	6.85014310796163	-0.19296126838741	7.64076856354626	7.13119255675541	0.509576006790849	0.0388943215021118	80.5260940432759	46.651935330117	43.348064669883	311.992617284386	46.3433854154859	7.51323722890619	1.67703436026099	0.961595104207572	0.412441120747266	6053.4437872234	-267.260152951213	2258.85730714242	84.4654294980168	-93.8716809222181	16.7108312698747	84465.4294980168	-93871.6809222181	16710.8312698747	0.024284040783532	0.0120291397515684	-0.0552852090876549	0.0615700347880748	6053.41950318261	-267.272182090964	2258.91259235151	84.4508611444589	-93.682432413039	16.7455705264397	84450.8611444589	-93682.432413039	16745.5705264397	-0.0145683535579592	0.189248509179044	0.0347392565649934	0.192961268389718	-0.0276944203491368	0.085791038838129	-157.11846353004	20.5720950484038	91.1562048977409	357.473685169832	0	0	0	0	0	127.379563279112
